"onset" "duration" "sample" "trial_type" "eventIdentifier" "event_nr" "aoi" "trial" "blocktrial" "aoiInfo_faces" "aoiInfo_emotion" "aoiInfo_model" "aoiInfo_sex"
2584.476 6.015 17725733 "Exp.Trial" "TRIAL 87" 87 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 87 23 "[\"119_y_m_n_b.jpg\",\"144_y_m_h_b.jpg\",\"101_y_f_n_b.jpg\",\"177_y_f_h_a.jpg\",\"008_y_m_n_b.jpg\",\"054_y_f_n_b.jpg\",\"048_y_f_h_a.jpg\",\"106_y_f_h_a.jpg\",\"090_y_f_n_a.jpg\",\"072_y_m_n_b.jpg\",\"175_y_m_h_b.jpg\",\"160_y_m_h_b.jpg\",\"069_y_f_h_b.jpg\",\"173_y_f_n_b.jpg\",\"049_y_m_n_a.jpg\",\"062_y_m_h_b.jpg\"]" "[\"n\",\"h\",\"n\",\"h\",\"n\",\"n\",\"h\",\"h\",\"n\",\"n\",\"h\",\"h\",\"h\",\"n\",\"n\",\"h\"]" "[\"06\",\"05\",\"12\",\"16\",\"01\",\"04\",\"03\",\"11\",\"08\",\"10\",\"14\",\"13\",\"07\",\"15\",\"02\",\"09\"]" "[\"m\",\"m\",\"f\",\"f\",\"m\",\"f\",\"f\",\"f\",\"f\",\"m\",\"m\",\"m\",\"f\",\"f\",\"m\",\"m\"]"
2594.421 6.014 17735678 "Exp.Trial" "TRIAL 88" 88 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 88 24 "[\"106_y_f_h_a.jpg\",\"090_y_f_n_a.jpg\",\"160_y_m_h_b.jpg\",\"072_y_m_n_b.jpg\",\"062_y_m_h_b.jpg\",\"144_y_m_h_b.jpg\",\"173_y_f_n_b.jpg\",\"177_y_f_h_a.jpg\",\"119_y_m_n_b.jpg\",\"069_y_f_h_b.jpg\",\"049_y_m_n_a.jpg\",\"101_y_f_n_b.jpg\",\"048_y_f_h_a.jpg\",\"175_y_m_h_b.jpg\",\"008_y_m_n_b.jpg\",\"054_y_f_n_b.jpg\"]" "[\"h\",\"n\",\"h\",\"n\",\"h\",\"h\",\"n\",\"h\",\"n\",\"h\",\"n\",\"n\",\"h\",\"h\",\"n\",\"n\"]" "[\"11\",\"08\",\"13\",\"10\",\"09\",\"05\",\"15\",\"16\",\"06\",\"07\",\"02\",\"12\",\"03\",\"14\",\"01\",\"04\"]" "[\"f\",\"f\",\"m\",\"m\",\"m\",\"m\",\"f\",\"f\",\"m\",\"f\",\"m\",\"f\",\"f\",\"m\",\"m\",\"f\"]"
2604.365 6.015 17745622 "Exp.Trial" "TRIAL 89" 89 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 89 25 "[\"175_y_m_s_b.jpg\",\"144_y_m_n_b.jpg\",\"069_y_f_n_b.jpg\",\"173_y_f_s_b.jpg\",\"008_y_m_n_b.jpg\",\"090_y_f_s_a.jpg\",\"119_y_m_s_b.jpg\",\"048_y_f_n_a.jpg\",\"049_y_m_s_a.jpg\",\"072_y_m_n_b.jpg\",\"101_y_f_n_b.jpg\",\"177_y_f_s_b.jpg\",\"054_y_f_s_a.jpg\",\"106_y_f_n_b.jpg\",\"062_y_m_n_a.jpg\",\"160_y_m_s_b.jpg\"]" "[\"s\",\"n\",\"n\",\"s\",\"n\",\"s\",\"s\",\"n\",\"s\",\"n\",\"n\",\"s\",\"s\",\"n\",\"n\",\"s\"]" "[\"14\",\"05\",\"07\",\"15\",\"01\",\"08\",\"06\",\"03\",\"02\",\"10\",\"12\",\"16\",\"04\",\"11\",\"09\",\"13\"]" "[\"m\",\"m\",\"f\",\"f\",\"m\",\"f\",\"m\",\"f\",\"m\",\"m\",\"f\",\"f\",\"f\",\"f\",\"m\",\"m\"]"
2614.31 6.014 17755567 "Exp.Trial" "TRIAL 90" 90 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 90 26 "[\"175_y_m_h_b.jpg\",\"049_y_m_n_a.jpg\",\"048_y_f_h_a.jpg\",\"173_y_f_n_b.jpg\",\"144_y_m_h_b.jpg\",\"101_y_f_n_b.jpg\",\"062_y_m_h_b.jpg\",\"008_y_m_n_b.jpg\",\"054_y_f_n_b.jpg\",\"119_y_m_n_b.jpg\",\"106_y_f_h_a.jpg\",\"069_y_f_h_b.jpg\",\"160_y_m_h_b.jpg\",\"090_y_f_n_a.jpg\",\"177_y_f_h_a.jpg\",\"072_y_m_n_b.jpg\"]" "[\"h\",\"n\",\"h\",\"n\",\"h\",\"n\",\"h\",\"n\",\"n\",\"n\",\"h\",\"h\",\"h\",\"n\",\"h\",\"n\"]" "[\"14\",\"02\",\"03\",\"15\",\"05\",\"12\",\"09\",\"01\",\"04\",\"06\",\"11\",\"07\",\"13\",\"08\",\"16\",\"10\"]" "[\"m\",\"m\",\"f\",\"f\",\"m\",\"f\",\"m\",\"m\",\"f\",\"m\",\"f\",\"f\",\"m\",\"f\",\"f\",\"m\"]"
2624.252 6.017 17765509 "Exp.Trial" "TRIAL 91" 91 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 91 27 "[\"106_y_f_s_a.jpg\",\"119_y_m_n_b.jpg\",\"008_y_m_s_b.jpg\",\"090_y_f_n_a.jpg\",\"160_y_m_n_a.jpg\",\"054_y_f_n_b.jpg\",\"049_y_m_n_a.jpg\",\"062_y_m_s_b.jpg\",\"173_y_f_n_b.jpg\",\"069_y_f_s_b.jpg\",\"144_y_m_s_a.jpg\",\"101_y_f_s_b.jpg\",\"177_y_f_n_a.jpg\",\"175_y_m_n_b.jpg\",\"048_y_f_s_b.jpg\",\"072_y_m_s_a.jpg\"]" "[\"s\",\"n\",\"s\",\"n\",\"n\",\"n\",\"n\",\"s\",\"n\",\"s\",\"s\",\"s\",\"n\",\"n\",\"s\",\"s\"]" "[\"11\",\"06\",\"01\",\"08\",\"13\",\"04\",\"02\",\"09\",\"15\",\"07\",\"05\",\"12\",\"16\",\"14\",\"03\",\"10\"]" "[\"f\",\"m\",\"m\",\"f\",\"m\",\"f\",\"m\",\"m\",\"f\",\"f\",\"m\",\"f\",\"f\",\"m\",\"f\",\"m\"]"
2634.232 6.015 17775489 "Exp.Trial" "TRIAL 92" 92 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 92 28 "[\"072_y_m_h_b.jpg\",\"054_y_f_h_a.jpg\",\"106_y_f_n_b.jpg\",\"062_y_m_n_a.jpg\",\"173_y_f_h_b.jpg\",\"049_y_m_h_a.jpg\",\"144_y_m_n_b.jpg\",\"069_y_f_n_b.jpg\",\"175_y_m_n_b.jpg\",\"177_y_f_n_a.jpg\",\"090_y_f_h_a.jpg\",\"119_y_m_h_a.jpg\",\"160_y_m_n_a.jpg\",\"008_y_m_h_a.jpg\",\"101_y_f_h_b.jpg\",\"048_y_f_n_a.jpg\"]" "[\"h\",\"h\",\"n\",\"n\",\"h\",\"h\",\"n\",\"n\",\"n\",\"n\",\"h\",\"h\",\"n\",\"h\",\"h\",\"n\"]" "[\"10\",\"04\",\"11\",\"09\",\"15\",\"02\",\"05\",\"07\",\"14\",\"16\",\"08\",\"06\",\"13\",\"01\",\"12\",\"03\"]" "[\"m\",\"f\",\"f\",\"m\",\"f\",\"m\",\"m\",\"f\",\"m\",\"f\",\"f\",\"m\",\"m\",\"m\",\"f\",\"f\"]"
2644.176 6.015 17785433 "Exp.Trial" "TRIAL 93" 93 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 93 29 "[\"072_y_m_n_b.jpg\",\"101_y_f_n_b.jpg\",\"054_y_f_s_a.jpg\",\"160_y_m_s_b.jpg\",\"048_y_f_n_a.jpg\",\"173_y_f_s_b.jpg\",\"175_y_m_s_b.jpg\",\"062_y_m_n_a.jpg\",\"177_y_f_s_b.jpg\",\"008_y_m_n_b.jpg\",\"106_y_f_n_b.jpg\",\"119_y_m_s_b.jpg\",\"049_y_m_s_a.jpg\",\"069_y_f_n_b.jpg\",\"090_y_f_s_a.jpg\",\"144_y_m_n_b.jpg\"]" "[\"n\",\"n\",\"s\",\"s\",\"n\",\"s\",\"s\",\"n\",\"s\",\"n\",\"n\",\"s\",\"s\",\"n\",\"s\",\"n\"]" "[\"10\",\"12\",\"04\",\"13\",\"03\",\"15\",\"14\",\"09\",\"16\",\"01\",\"11\",\"06\",\"02\",\"07\",\"08\",\"05\"]" "[\"m\",\"f\",\"f\",\"m\",\"f\",\"f\",\"m\",\"m\",\"f\",\"m\",\"f\",\"m\",\"m\",\"f\",\"f\",\"m\"]"
2654.119 6.017 17795376 "Exp.Trial" "TRIAL 94" 94 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 94 30 "[\"062_y_m_n_a.jpg\",\"160_y_m_s_b.jpg\",\"177_y_f_s_b.jpg\",\"106_y_f_n_b.jpg\",\"119_y_m_s_b.jpg\",\"054_y_f_s_a.jpg\",\"049_y_m_s_a.jpg\",\"101_y_f_n_b.jpg\",\"090_y_f_s_a.jpg\",\"144_y_m_n_b.jpg\",\"069_y_f_n_b.jpg\",\"072_y_m_n_b.jpg\",\"175_y_m_s_b.jpg\",\"008_y_m_n_b.jpg\",\"048_y_f_n_a.jpg\",\"173_y_f_s_b.jpg\"]" "[\"n\",\"s\",\"s\",\"n\",\"s\",\"s\",\"s\",\"n\",\"s\",\"n\",\"n\",\"n\",\"s\",\"n\",\"n\",\"s\"]" "[\"09\",\"13\",\"16\",\"11\",\"06\",\"04\",\"02\",\"12\",\"08\",\"05\",\"07\",\"10\",\"14\",\"01\",\"03\",\"15\"]" "[\"m\",\"m\",\"f\",\"f\",\"m\",\"f\",\"m\",\"f\",\"f\",\"m\",\"f\",\"m\",\"m\",\"m\",\"f\",\"f\"]"
2664.065 6.015 17805322 "Exp.Trial" "TRIAL 95" 95 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 95 31 "[\"175_y_m_n_b.jpg\",\"008_y_m_h_a.jpg\",\"173_y_f_h_b.jpg\",\"049_y_m_h_a.jpg\",\"177_y_f_n_a.jpg\",\"101_y_f_h_b.jpg\",\"106_y_f_n_b.jpg\",\"048_y_f_n_a.jpg\",\"069_y_f_n_b.jpg\",\"119_y_m_h_a.jpg\",\"062_y_m_n_a.jpg\",\"160_y_m_n_a.jpg\",\"144_y_m_n_b.jpg\",\"054_y_f_h_a.jpg\",\"072_y_m_h_b.jpg\",\"090_y_f_h_a.jpg\"]" "[\"n\",\"h\",\"h\",\"h\",\"n\",\"h\",\"n\",\"n\",\"n\",\"h\",\"n\",\"n\",\"n\",\"h\",\"h\",\"h\"]" "[\"14\",\"01\",\"15\",\"02\",\"16\",\"12\",\"11\",\"03\",\"07\",\"06\",\"09\",\"13\",\"05\",\"04\",\"10\",\"08\"]" "[\"m\",\"m\",\"f\",\"m\",\"f\",\"f\",\"f\",\"f\",\"f\",\"m\",\"m\",\"m\",\"m\",\"f\",\"m\",\"f\"]"
2674.027 6.014 17815284 "Exp.Trial" "TRIAL 96" 96 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 96 32 "[\"160_y_m_n_a.jpg\",\"106_y_f_s_a.jpg\",\"062_y_m_s_b.jpg\",\"177_y_f_n_a.jpg\",\"069_y_f_s_b.jpg\",\"144_y_m_s_a.jpg\",\"101_y_f_s_b.jpg\",\"054_y_f_n_b.jpg\",\"119_y_m_n_b.jpg\",\"090_y_f_n_a.jpg\",\"049_y_m_n_a.jpg\",\"072_y_m_s_a.jpg\",\"173_y_f_n_b.jpg\",\"048_y_f_s_b.jpg\",\"008_y_m_s_b.jpg\",\"175_y_m_n_b.jpg\"]" "[\"n\",\"s\",\"s\",\"n\",\"s\",\"s\",\"s\",\"n\",\"n\",\"n\",\"n\",\"s\",\"n\",\"s\",\"s\",\"n\"]" "[\"13\",\"11\",\"09\",\"16\",\"07\",\"05\",\"12\",\"04\",\"06\",\"08\",\"02\",\"10\",\"15\",\"03\",\"01\",\"14\"]" "[\"m\",\"f\",\"m\",\"f\",\"f\",\"m\",\"f\",\"f\",\"m\",\"f\",\"m\",\"m\",\"f\",\"f\",\"m\",\"m\"]"
3088 6.007 18229257 "Exp.Trial" "TRIAL 97" 97 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 97 1 "[\"049_y_m_n_a.jpg\",\"160_y_m_h_b.jpg\",\"090_y_f_n_a.jpg\",\"048_y_f_h_a.jpg\",\"069_y_f_h_b.jpg\",\"062_y_m_h_b.jpg\",\"101_y_f_n_b.jpg\",\"173_y_f_n_b.jpg\",\"144_y_m_h_b.jpg\",\"106_y_f_h_a.jpg\",\"119_y_m_n_b.jpg\",\"008_y_m_n_b.jpg\",\"175_y_m_h_b.jpg\",\"054_y_f_n_b.jpg\",\"072_y_m_n_b.jpg\",\"177_y_f_h_a.jpg\"]" "[\"n\",\"h\",\"n\",\"h\",\"h\",\"h\",\"n\",\"n\",\"h\",\"h\",\"n\",\"n\",\"h\",\"n\",\"n\",\"h\"]" "[\"02\",\"13\",\"08\",\"03\",\"07\",\"09\",\"12\",\"15\",\"05\",\"11\",\"06\",\"01\",\"14\",\"04\",\"10\",\"16\"]" "[\"m\",\"m\",\"f\",\"f\",\"f\",\"m\",\"f\",\"f\",\"m\",\"f\",\"m\",\"m\",\"m\",\"f\",\"m\",\"f\"]"
3097.937 6.015 18239194 "Exp.Trial" "TRIAL 98" 98 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 98 2 "[\"049_y_m_n_a.jpg\",\"048_y_f_s_b.jpg\",\"072_y_m_s_a.jpg\",\"054_y_f_n_b.jpg\",\"008_y_m_s_b.jpg\",\"173_y_f_n_b.jpg\",\"160_y_m_n_a.jpg\",\"175_y_m_n_b.jpg\",\"177_y_f_n_a.jpg\",\"062_y_m_s_b.jpg\",\"106_y_f_s_a.jpg\",\"069_y_f_s_b.jpg\",\"101_y_f_s_b.jpg\",\"144_y_m_s_a.jpg\",\"119_y_m_n_b.jpg\",\"090_y_f_n_a.jpg\"]" "[\"n\",\"s\",\"s\",\"n\",\"s\",\"n\",\"n\",\"n\",\"n\",\"s\",\"s\",\"s\",\"s\",\"s\",\"n\",\"n\"]" "[\"02\",\"03\",\"10\",\"04\",\"01\",\"15\",\"13\",\"14\",\"16\",\"09\",\"11\",\"07\",\"12\",\"05\",\"06\",\"08\"]" "[\"m\",\"f\",\"m\",\"f\",\"m\",\"f\",\"m\",\"m\",\"f\",\"m\",\"f\",\"f\",\"f\",\"m\",\"m\",\"f\"]"
3107.881 6.015 18249138 "Exp.Trial" "TRIAL 99" 99 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 99 3 "[\"144_y_m_n_b.jpg\",\"119_y_m_h_a.jpg\",\"101_y_f_h_b.jpg\",\"177_y_f_n_a.jpg\",\"090_y_f_h_a.jpg\",\"160_y_m_n_a.jpg\",\"008_y_m_h_a.jpg\",\"106_y_f_n_b.jpg\",\"072_y_m_h_b.jpg\",\"054_y_f_h_a.jpg\",\"048_y_f_n_a.jpg\",\"062_y_m_n_a.jpg\",\"069_y_f_n_b.jpg\",\"173_y_f_h_b.jpg\",\"175_y_m_n_b.jpg\",\"049_y_m_h_a.jpg\"]" "[\"n\",\"h\",\"h\",\"n\",\"h\",\"n\",\"h\",\"n\",\"h\",\"h\",\"n\",\"n\",\"n\",\"h\",\"n\",\"h\"]" "[\"05\",\"06\",\"12\",\"16\",\"08\",\"13\",\"01\",\"11\",\"10\",\"04\",\"03\",\"09\",\"07\",\"15\",\"14\",\"02\"]" "[\"m\",\"m\",\"f\",\"f\",\"f\",\"m\",\"m\",\"f\",\"m\",\"f\",\"f\",\"m\",\"f\",\"f\",\"m\",\"m\"]"
3117.831 6.01 18259088 "Exp.Trial" "TRIAL 100" 100 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 100 4 "[\"144_y_m_s_a.jpg\",\"090_y_f_n_a.jpg\",\"049_y_m_n_a.jpg\",\"048_y_f_s_b.jpg\",\"054_y_f_n_b.jpg\",\"160_y_m_n_a.jpg\",\"106_y_f_s_a.jpg\",\"069_y_f_s_b.jpg\",\"008_y_m_s_b.jpg\",\"173_y_f_n_b.jpg\",\"062_y_m_s_b.jpg\",\"175_y_m_n_b.jpg\",\"119_y_m_n_b.jpg\",\"177_y_f_n_a.jpg\",\"072_y_m_s_a.jpg\",\"101_y_f_s_b.jpg\"]" "[\"s\",\"n\",\"n\",\"s\",\"n\",\"n\",\"s\",\"s\",\"s\",\"n\",\"s\",\"n\",\"n\",\"n\",\"s\",\"s\"]" "[\"05\",\"08\",\"02\",\"03\",\"04\",\"13\",\"11\",\"07\",\"01\",\"15\",\"09\",\"14\",\"06\",\"16\",\"10\",\"12\"]" "[\"m\",\"f\",\"m\",\"f\",\"f\",\"m\",\"f\",\"f\",\"m\",\"f\",\"m\",\"m\",\"m\",\"f\",\"m\",\"f\"]"
3127.77 6.015 18269027 "Exp.Trial" "TRIAL 101" 101 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 101 5 "[\"175_y_m_n_b.jpg\",\"062_y_m_s_b.jpg\",\"177_y_f_n_a.jpg\",\"069_y_f_s_b.jpg\",\"049_y_m_n_a.jpg\",\"072_y_m_s_a.jpg\",\"119_y_m_n_b.jpg\",\"144_y_m_s_a.jpg\",\"048_y_f_s_b.jpg\",\"101_y_f_s_b.jpg\",\"090_y_f_n_a.jpg\",\"054_y_f_n_b.jpg\",\"008_y_m_s_b.jpg\",\"160_y_m_n_a.jpg\",\"106_y_f_s_a.jpg\",\"173_y_f_n_b.jpg\"]" "[\"n\",\"s\",\"n\",\"s\",\"n\",\"s\",\"n\",\"s\",\"s\",\"s\",\"n\",\"n\",\"s\",\"n\",\"s\",\"n\"]" "[\"14\",\"09\",\"16\",\"07\",\"02\",\"10\",\"06\",\"05\",\"03\",\"12\",\"08\",\"04\",\"01\",\"13\",\"11\",\"15\"]" "[\"m\",\"m\",\"f\",\"f\",\"m\",\"m\",\"m\",\"m\",\"f\",\"f\",\"f\",\"f\",\"m\",\"m\",\"f\",\"f\"]"
3137.732 6.015 18278989 "Exp.Trial" "TRIAL 102" 102 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 102 6 "[\"062_y_m_n_a.jpg\",\"048_y_f_n_a.jpg\",\"054_y_f_h_a.jpg\",\"069_y_f_n_b.jpg\",\"144_y_m_n_b.jpg\",\"175_y_m_n_b.jpg\",\"090_y_f_h_a.jpg\",\"008_y_m_h_a.jpg\",\"049_y_m_h_a.jpg\",\"072_y_m_h_b.jpg\",\"177_y_f_n_a.jpg\",\"173_y_f_h_b.jpg\",\"106_y_f_n_b.jpg\",\"160_y_m_n_a.jpg\",\"119_y_m_h_a.jpg\",\"101_y_f_h_b.jpg\"]" "[\"n\",\"n\",\"h\",\"n\",\"n\",\"n\",\"h\",\"h\",\"h\",\"h\",\"n\",\"h\",\"n\",\"n\",\"h\",\"h\"]" "[\"09\",\"03\",\"04\",\"07\",\"05\",\"14\",\"08\",\"01\",\"02\",\"10\",\"16\",\"15\",\"11\",\"13\",\"06\",\"12\"]" "[\"m\",\"f\",\"f\",\"f\",\"m\",\"m\",\"f\",\"m\",\"m\",\"m\",\"f\",\"f\",\"f\",\"m\",\"m\",\"f\"]"
3147.676 6.015 18288933 "Exp.Trial" "TRIAL 103" 103 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 103 7 "[\"072_y_m_s_a.jpg\",\"054_y_f_n_b.jpg\",\"160_y_m_n_a.jpg\",\"101_y_f_s_b.jpg\",\"106_y_f_s_a.jpg\",\"008_y_m_s_b.jpg\",\"175_y_m_n_b.jpg\",\"173_y_f_n_b.jpg\",\"062_y_m_s_b.jpg\",\"048_y_f_s_b.jpg\",\"177_y_f_n_a.jpg\",\"119_y_m_n_b.jpg\",\"090_y_f_n_a.jpg\",\"069_y_f_s_b.jpg\",\"144_y_m_s_a.jpg\",\"049_y_m_n_a.jpg\"]" "[\"s\",\"n\",\"n\",\"s\",\"s\",\"s\",\"n\",\"n\",\"s\",\"s\",\"n\",\"n\",\"n\",\"s\",\"s\",\"n\"]" "[\"10\",\"04\",\"13\",\"12\",\"11\",\"01\",\"14\",\"15\",\"09\",\"03\",\"16\",\"06\",\"08\",\"07\",\"05\",\"02\"]" "[\"m\",\"f\",\"m\",\"f\",\"f\",\"m\",\"m\",\"f\",\"m\",\"f\",\"f\",\"m\",\"f\",\"f\",\"m\",\"m\"]"
3157.621 6.014 18298878 "Exp.Trial" "TRIAL 104" 104 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 104 8 "[\"173_y_f_h_b.jpg\",\"072_y_m_h_b.jpg\",\"175_y_m_n_b.jpg\",\"119_y_m_h_a.jpg\",\"048_y_f_n_a.jpg\",\"008_y_m_h_a.jpg\",\"101_y_f_h_b.jpg\",\"062_y_m_n_a.jpg\",\"054_y_f_h_a.jpg\",\"160_y_m_n_a.jpg\",\"106_y_f_n_b.jpg\",\"177_y_f_n_a.jpg\",\"090_y_f_h_a.jpg\",\"049_y_m_h_a.jpg\",\"069_y_f_n_b.jpg\",\"144_y_m_n_b.jpg\"]" "[\"h\",\"h\",\"n\",\"h\",\"n\",\"h\",\"h\",\"n\",\"h\",\"n\",\"n\",\"n\",\"h\",\"h\",\"n\",\"n\"]" "[\"15\",\"10\",\"14\",\"06\",\"03\",\"01\",\"12\",\"09\",\"04\",\"13\",\"11\",\"16\",\"08\",\"02\",\"07\",\"05\"]" "[\"f\",\"m\",\"m\",\"m\",\"f\",\"m\",\"f\",\"m\",\"f\",\"m\",\"f\",\"f\",\"f\",\"m\",\"f\",\"m\"]"
3167.563 6.017 18308820 "Exp.Trial" "TRIAL 105" 105 "[[410,610,95,295],[630,830,95,295],[850,1050,95,295],[1070,1270,95,295],[410,610,315,515],[630,830,315,515],[850,1050,315,515],[1070,1270,315,515],[410,610,535,735],[630,830,535,735],[850,1050,535,735],[1070,1270,535,735],[410,610,755,955],[630,830,755,955],[850,1050,755,955],[1070,1270,755,955]]" 105 9 "[\"062_y_m_s_b.jpg\",\"177_y_f_n_a.jpg\",\"119_y_m_n_b.jpg\",\"106_y_f_s_a.jpg\",\"090_y_f_n_a.jpg\",\"049_y_m_n_a.jpg\",\"054_y_f_n_b.jpg\",\"101_y_f_s_b.jpg\",\"072_y_m_s_a.jpg\",\"144_y_m_s_a.jpg\",\"069_y_f_s_b.jpg\",\"160_y_m_n_a.jpg\",\"048_y_f_s_b.jpg\",\"173_y_f_n_b.jpg\",\"175_y_m_n_b.jpg\",\"008_y_m_s_b.jpg\"]" "[\"s\",\"n\",\"n\",\"s\",\"n\",\"n\",\"n\",\"s\",\"s\",\"s\",\"s\",\"n\",\"s\",\"n\",\"n\",\"s\"]" "[\"09\",\"16\",\"06\",\"11\",\"08\",\"02\",\"04\",\"12\",\"10\",\"05\",\"07\",\"13\",\"03\",\"15\",\"14\",\"01\"]" "[\"m\",\"f\",\"m\",\"f\",\"f\",\"m\",\"f\",\"f\",\"m\",\"m\",\"f\",\"m\",\"f\",\"f\",\"m\",\"m\"]"
